Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
2713,К-17,"станция метро ""Ладожская"" - станция метро ""Черная речка""",3,Автобус,0,0,0
2714,К-278А,ул. Академика Байкова - ж. -д. станция Ручьи,3,Автобус,0,1,0
2717,К-279,"Туристская ул., д. 11- Новоколомяжский пр., д. 13 ",3,Автобус,0,1,0
2721,К-186,Уральская ул. -Балтийский вокзал,3,Автобус,0,1,0
2723,К-281,"ст. метро ""Обухово"" - ст. метро "" Балтийская"" ",3,Автобус,0,1,0
2730,К-78,"станция метро ""Проспект Ветеранов"" - ж.-д. станция Сосновая Поляна ",3,Автобус,0,1,0
2731,К-25,"станция метро ""Владимирская"" - Балканская площадь",3,Автобус,0,0,0
2733,К-79,"станция метро ""Пионерская"" - пр. Королева",3,Автобус,0,1,0
2736,К-26,"БКЗ ""Октябрьский"" - Бестужевская улица",3,Автобус,0,0,0
2738,К-81,"станция метро ""Проспект Ветеранов"" - улица Политрука Пасечника",3,Автобус,0,1,0
2739,К-287,"ст.метро ""Московская"" - г. Пушкин, Красносельское шоссе, д. 1",3,Автобус,0,1,0
2741,К-28," гостиница ""Карелия"" - гостиница ""Карелия""",3,Автобус,1,0,0
2855,К-299,"ст. метро ""Московская"" - г. Павловск, Звериницкая ул.",3,Автобус,0,1,0
2744,К-28к,ул. Коммуны - Финляндский вокзал,3,Автобус,0,0,0
2745,К-191,Финляндский вокзал-ул. Демьяна Бедного,3,Автобус,0,1,0
2746,К-83,"станция метро ""Улица Дыбенко"" - ж.-д. станция Пискаревка",3,Автобус,0,1,0
2747,К-288,"ст. метро ""Пионерская"" - на пересечении Гражданского пр. и Суздальского пр.",3,Автобус,0,1,0
2748,К-193,"ст. метро ""Старая Деревня""-ж.д. станция Ручьи",3,Автобус,0,1,0
2749,К-194,"ст. метро ""Московская-ст. метро ""Волковская""",3,Автобус,0,1,0
2750,К-29,"станция метро ""Ломоносовская"" - улица Солдата Корзуна",3,Автобус,0,0,0
2751,К-84,"станция метро ""Проспект Ветеранов"" - станция метро ""Проспект Ветеранов""",3,Автобус,1,1,0
2752,К-289,пл. Искусств - пр. Энергетиков,3,Автобус,0,1,0
2757,К-195,Сенная пл.-ул. Партизана Германа,3,Автобус,0,1,0
2758,К-85,"станция метро ""Удельная"" - Глухарская улица",3,Автобус,0,1,0
2759,К-31,Площадь Конституции (Ленинский пр.)-Б. Смоленский пр. у ул. Пинегина,3,Автобус,0,0,0
2762,К-291,"г. Колпино, ул. Ижорского Батальона, д. 7 г.-  Пушкин, вокзал,шоссе Подбельского",3,Автобус,0,1,0
2764,К-199,"ст. метро ""Озерки""-ул.Руставели",3,Автобус,0,1,0
2765,К-86,"станция метро ""Звездная"" - Благодатная улица",3,Автобус,0,1,0
2766,К-87,"станция метро ""Ленинский проспект"" - ж.-д. станция Лигово",3,Автобус,0,1,0
2768,К-292,"ст. метро"" Купчино"" - г. Колпино, ул. Ижорского Батальона ",3,Автобус,0,1,0
2770,К-35,"станция метро ""Ленинский проспект"" - пр. Героев, угол Ленинского пр.",3,Автобус,0,0,0
1550,61,"ДЕРЕВНЯ ""НОВАЯ"" - СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ"" - ДЕРЕВНЯ ""НОВАЯ""",3,Автобус,1,1,0
1552,683,"Г. ЛОМОНОСОВ, ВОКЗАЛ - ДЕР. КЛЯСИНО",3,Автобус,0,0,0
1671,18,ул. СТОЙКОСТИ - КОРАБЕЛЬНАЯ УЛ.,3,Автобус,0,1,0
1682,43,ПОРТ - БАЛТИЙСКИЙ ВОКЗАЛ,3,Автобус,0,1,0
1691,192,"Г. КОЛПИНО, ВОКЗАЛ - ЗВЕЗДНАЯ УЛ.",3,Автобус,0,1,0
1710,367,КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ - СОВХОЗ ИМ. ТЕЛЬМАНА,3,Автобус,0,1,0
1711,368,"КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ - Г. КОЛПИНО, ОБОРОННАЯ УЛ.",3,Автобус,0,1,0
1716,376ШК,"САПЕРНАЯ УЛ., 9 - Г.ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ.""",3,Автобус,0,1,0
1717,377,"Г. ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - ДЕТСКОСЕЛЬСКИЙ БУЛЬВАР ",3,Автобус,0,1,0
1733,396,"ПОС. ПЕТРО-СЛАВЯНКА - ПОС. МЕТАЛЛОСТРОЙ, ЦЕНТРАЛЬНАЯ УЛ.",3,Автобус,0,1,0
1741,173,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. КАМЕНКА",3,Автобус,0,1,0
1743,75,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. ЛЕВАШОВО",3,Автобус,0,1,0
1745,349,"Г. ЛОМОНОСОВ, ВОКЗАЛ - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ",3,Автобус,0,1,0
1750,99,"А.С.""УЛ. ЖЕНИ ЕГОРОВОЙ"" - ПОС. БУГРЫ",3,Автобус,0,1,0
1753,99ш,УЛ. ОРБЕЛИ - ПОС. БУГРЫ,3,Автобус,0,1,0
1754,163,"Ж.-Д. СТ. ЛИГОВО - БСХ, БЫТОВЫЕ ПРИБОРЫ",3,Автобус,0,1,0
1756,88,"УЛ.СТОЙКОСТИ - СТ. МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""",3,Автобус,0,1,0
1757,89,"УЛ.СТОЙКОСТИ - СТ. МЕТРО ""ПРОСПЕКТ ВЕТЕРАНОВ""",3,Автобус,0,1,0
1762,337А,"Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - ПОС. МЕТАЛЛОСТРОЙ, ЦЕНТРАЛЬНАЯ УЛ.",3,Автобус,0,1,0
1765,376,"г.Пушкин, Автобусная станция""Железнодорожная ул."" - Красносельское шоссе(пустой)",3,Автобус,0,1,0
1766,110,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - МОТЕЛЬ- КЕМПИНГ ""ОЛЬГИНО"" ",3,Автобус,0,1,0
1804,131,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - Ж.-Д.СТ. ""ПИСКАРЁВКА""",3,Автобус,0,1,0
1822,306А,"ПАНСИОНАТ ""ДЮНЫ"" - Г.СЕСТРОРЕЦК, КУРОРТНАЯ УЛ.",3,Автобус,0,1,0
1829,309,"Ж.-Д.СТАНЦИЯ ГОРСКАЯ - Г.СЕСТРОРЕЦК, КУРОРТНАЯ УЛ.",3,Автобус,0,1,0
1830,312,"Г. СЕСТРОРЕЦК, УЛ. ВОЛОДАРСКОГО - Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. (ТОЛЬКО В ОДНУ СТОРОНУ)",3,Автобус,0,1,0
1833,305,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ВЫБОРГСКОЕ ШОССЕ, 764-Й КМ",3,Автобус,0,1,0
1834,213,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - 21 КМ",3,Автобус,0,1,0
1835,404,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС. ПОДГОРНОЕ",3,Автобус,0,0,0
1836,408,"ПОС. РЕПИНО, ВОКЗАЛ - ПОСЕЛОК ЛЕНИНСКОЕ",3,Автобус,0,0,0
1837,415,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ -  53 КМ АВТОДОРОГИ ""ПАРГОЛОВО-ОГОНЬКИ""",3,Автобус,0,0,0
1838,415ш,"Г.ЗЕЛЕНОГОРСК,ВОКЗАЛ - ЖИЛГОРОДОК - ШКОЛА №445 - Д/С ""ПИОНЕР"" - Г.ЗЕЛЕНОГОРСК",3,Автобус,0,0,0
1841,211,"СПб.,СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА"" - Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ ",3,Автобус,0,1,0
1842,321,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛЬНАЯ ПЛ. - ПОС. РЕШЕТНИКОВО",3,Автобус,0,1,0
1844,410,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС. ПЕРВОМАЙСКОЕ",3,Автобус,0,0,0
1845,420,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС.КРАСНАЯ ДОЛИНА",3,Автобус,0,0,0
1847,420Б,"Г. ЗЕЛЕНОГОРСК,ВОКЗАЛ - ПОС.ПЕСКИ",3,Автобус,0,0,0
1848,483,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ ""СОСНОВЫЙ БОР"" (ЧЕРЕЗ ЗЕЛЕНЫЙ ХОЛМ)",3,Автобус,0,0,0
1858,381,"Г.ПУШКИН,ЖЕЛЕЗНОДОРОЖНАЯ УЛ. - КРАСНОСЕЛЬСКОЕ ШОССЕ",3,Автобус,0,1,0
1860,141,"АС ""УЛ. КОСТЮШКО"" - МОСКОВСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
1972,200Ф,"Санкт-Петербург, А.С.""Кировский завод""- г. Ломоносов, Вокзал",3,Автобус,0,1,0
1977,326Ф,"г. Колпино, вокзал - ст.м. ""Купчино""",3,Автобус,0,1,0
2012,415А,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - 53 км АВТОДОРОГИ ""ПАРГОЛОВО - ОГОНЬКИ""  ",3,Автобус,0,0,0
2092,125,"СТ.МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" -""СТ.МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" (КОЛЬЦЕВОЙ)",3,Автобус,1,1,0
2173,175,"Г. ЛОМОНОСОВ, ВОКЗАЛ - Г. КРОНШТАДТ, ГРАЖДАНСКАЯ УЛ.",3,Автобус,0,1,0
2436,168,"СТ. МЕТРО ""ЛАДОЖСКАЯ"" - УЛ. ХИМИКОВ",3,Автобус,0,1,0
307,9,"КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - ПЛ. МУЖЕСТВА",3,Автобус,0,1,0
2475,182,АФОНСКАЯ УЛ. - ГЛУХАРСКАЯ УЛ.,3,Автобус,0,1,0
2680,К-65,"станция метро ""Пионерская"" - улица Демьяна Бедного",3,Автобус,0,1,0
2681,К-9,на пересечении ул. Академика Константинова с пр. Науки - улица Карпинского,3,Автобус,0,0,0
2685,б/№,"АС ""КИРОВСКИЙ ЗАВОД"" - ПОС. НОВОСЕЛЬЕ",3,Автобус,0,1,0
2687,К-178,"Финляндский вокзал-ст. метро ""Парнас""",3,Автобус,0,1,0
2688,К-10А,"пос. Бугры, Шоссейная ул., д. 28 - станция метро Политехническая ( Политехническая ул., д. 26)",3,Автобус,0,0,0
2719,К-20,"Станция метро ""Нарвская"", пл. Стачек, д. 5 - пр. Ветеранов у ул. Пионерстроя",3,Автобус,0,0,0
2724,К-187,ул. Коммуны - Витебский вокзал,3,Автобус,0,1,0
2726,К-23,"станция метро ""Старая Деревня"" (Торфяная дор., д. 6) - Комендантский пр., д. 50, к. 5",3,Автобус,0,0,0
2755,К-290,"ст. метро ""Московская"" - Южное кладбище",3,Автобус,0,1,0
2760,К-32,"станция метро ""Приморская"" - станция метро ""Ладожская""",3,Автобус,0,0,0
2767,К-200,"ст. метро ""Озерки""-ул. Сантьяго-де-Куба",3,Автобус,0,1,0
1440,101,"С.-ПЕТЕРБУРГ, СТ. МЕТРО""СТАРАЯ ДЕРЕВНЯ"" - Г. КРОНШТАДТ, ГРАЖДАНСКАЯ УЛ. ",3,Автобус,0,1,0
1480,83,"АВТОБУСНАЯ СТАНЦИЯ ""КИРОВСКИЙ ЗАВОД"" - УЛ.ДОБЛЕСТИ",3,Автобус,0,1,0
1543,438,"Г.КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ. - Ж.Д. СТ.САБЛИНО",3,Автобус,0,0,0
1582,87,"Ж.-Д. СТАНЦИЯ ЛИГОВО - СТ. МЕТРО ""ЛЕНИНСКИЙ ПРОСПЕКТ""",3,Автобус,0,1,0
1675,28,БЕЛОРУССКАЯ УЛ. - ФИНЛЯНДСКИЙ ВОКЗАЛ,3,Автобус,0,1,0
1679,37,БЕЛОРУССКАЯ УЛ. - ФИНЛЯНДСКИЙ ВОКЗАЛ,3,Автобус,0,1,0
1680,45,"АФОНСКАЯ УЛ. - Ж.-Д. СТАНЦИЯ ""УДЕЛЬНАЯ""",3,Автобус,0,1,0
1690,188,ПУШКИН - ЛЕСНОЕ,3,Автобус,0,1,0
1697,96,"МАЛАЯ БАЛКАНСКАЯ УЛ. - Ж.-Д. СТАНЦИЯ "" ОБУХОВО""",3,Автобус,0,1,0
1700,273,"Г. ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - Ж.-Д. СТ. КРАСНОЕ СЕЛО ",3,Автобус,0,1,0
1731,392,"Г.КОЛПИНО, ВОКЗАЛ - СОВХОЗ ИМ. ТЕЛЬМАНА",3,Автобус,0,1,0
1732,394,"КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ - Г. КОЛПИНО, ВОКЗАЛ",3,Автобус,0,1,0
1735,396А,"СТ. МЕТРО ""РЫБАЦКОЕ"" - ДОРОГА НА ПОС. МЕТАЛЛОСТРОЙ, Д. 3а",3,Автобус,0,1,0
1737,79,"ГЛУХАРСКАЯ УЛ. - СТ. МЕТРО ""ЧЕРНАЯ РЕЧКА""",3,Автобус,0,1,0
1760,545,"Г.ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ.""- Г. КОММУНАР",3,Автобус,0,0,0
1761,105,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЕВКА"" - ПЛ. ВОССТАНИЯ",3,Автобус,0,1,0
1763,109,"Ж. - Д. СТ. ПЕСОЧНАЯ - САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""ОЗЕРКИ""",3,Автобус,0,1,0
1764,109А,"Ж.-Д. СТАНЦИЯ ПЕСОЧНАЯ - РЕНТГЕНОРАДИОЛОГИЧЕСКИЙ ИНСТИТУТ - СТ.МЕТРО ""ОЗЕРКИ""",3,Автобус,0,1,0
1800,112,"ЛАХТА, ВОКЗАЛ - КОННОЛАХТИНСКИЙ ПР.",3,Автобус,0,1,0
1883,484Ш,"КЕЛОЗИ - РУССКО-ВЫСОЦКОЕ, ШКОЛА",3,Автобус,0,0,0
1992,467,"СТ. МЕТРО ""УЛ. ДЫБЕНКО"" - 53 КМ АВТОМОБИЛЬНАЯ ДОРОГА ""КОЛА""",3,Автобус,0,0,0
1952,356А,"Г.ПЕТРОДВОРЕЦ, УНИВЕРСИТЕТ - ЧЕБЫШЕВСКАЯ УЛ., Д.6",3,Автобус,0,1,0
1975,186Ф,"Звездная ул. - г. Пушкин, Красносельское шоссе",3,Автобус,0,1,0
2032,158,"А.С. ""НАЛИЧНАЯ УЛ."" - ПАССАЖИРСКИЙ ПОРТ САНКТ-ПЕТЕРБУРГ ""МОРСКОЙ ФАСАД""",3,Автобус,0,1,0
2112,183,"УЛ. МАРШАЛА ТУХАЧЕВСКОГО - МИКРОРАЙОН ""РУЧЬИ""",3,Автобус,0,1,0
2133,185,УЛ. СТАСОВОЙ - СТ. МЕТРО ЧКАЛОВСКАЯ,3,Автобус,0,1,0
2253,6 АЛ,"Г. ЛОМОНОСОВ, ВОКЗАЛ - ЗИМНЯЯ ПРИСТАНЬ",3,Автобус,0,1,0
2395,469А,"САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""УЛИЦА ДЫБЕНКО"" - ПОСЁЛОК ""ПРИЛАДОЖСКИЙ""",3,Автобус,0,1,0
2415,18а,"Ул.Стойкости-Ст.м.""Ленинский пр.""",3,Автобус,0,1,0
2535,169,"АС ""ХАСАНСКАЯ УЛ."" - СТ. МЕТРО ""БОЛЬШЕВИКОВ""",3,Автобус,0,1,0
2615,475А,"Г.КОЛПИНО, ЗАВОДСКОЙ ПР. - ПОСЕЛОК ""ПРИЛАДОЖСКИЙ""",3,Автобус,0,0,0
2556,148,"СТ. МЕТРО ""ПАРНАС"" - АС ""УЛ. ЖЕНИ ЕГОРОВОЙ""",3,Автобус,0,1,0
2663,К-64,"Гипермаркет ""О'Кей"" - Ржевская площадь",3,Автобус,0,1,0
1500,111,"Ж.-Д. СТАНЦИЯ ""ЛИГОВО"" - КОМСОМОЛЬСКАЯ ПЛ.",3,Автобус,0,1,0
1549,139,"СТ. МЕТРО""ПАРНАС"" - СТ. МЕТРО ""ГРАЖДАНСКИЙ ПРОСПЕКТ""",3,Автобус,0,1,0
1551,682,"Г. ЛОМОНОСОВ, ВОКЗАЛ - 4-Й КМ БЕТОННОЙ АВТОМОБИЛЬНОЙ ДОРОГИ",3,Автобус,0,0,0
1676,32,БЕЛООСТРОВСКАЯ УЛ.-ТУРИСТСКАЯ УЛ.,3,Автобус,0,1,0
1693,62,"УЛ.КОСТЮШКО - СТ. МЕТРО ""МОСКОВСКИЕ ВОРОТА""",3,Автобус,0,1,0
1793,278,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - ДЕР. ОЛЬГИНО",3,Автобус,0,1,0
1953,356-Б,"ЧЕБЫШЕВСКАЯ УЛ., Д. 6 - Г.ПЕТРОДВОРЕЦ, ВОКЗАЛ",3,Автобус,0,1,0
1882,356Б,"ЧЕБЫШЕВСКАЯ УЛ., 6 - ПЕТРОДВОРЕЦ, ВОКЗАЛ",3,Автобус,0,1,0
2172,134Б,АФОНСКАЯ УЛ. - ШКОЛЬНАЯ УЛ.,3,Автобус,0,1,0
2273,2А,"Ж.-Д. СТ. ""ЛИГОВО"" - КОМСОМОЛЬСКАЯ ПЛ.",3,Автобус,0,1,0
2655,К-1,"станция метро ""Нарвская"" - наб. канала Грибоедова, 54-56",3,Автобус,0,0,0
2662,К-5,"станция метро ""Ладожская"" - Караваевская улица,47",3,Автобус,0,0,0
2677,К-176,"ТК ""МЕГА Парнас""-Кондратьевский пр.",3,Автобус,0,1,0
2689,К-67,"Балтийский вокзал - Канонерский о-в, д. 11",3,Автобус,0,1,0
2695,К-179,"ст. метро ""Старая деревня""-пр. Королева",3,Автобус,0,1,0
2708,К-72,"На пересечении пр. Просвещения и ул. Хошимина - ул. Бутлерова, д. 36",3,Автобус,0,1,0
2711,К-16,"станция метро ""Площадь Александра Невского"" -Станция метро ""Купчино"" ",3,Автобус,0,0,0
2838,К-46,ж.-д. станция Ланская - ул. Смольного,3,Автобус,0,0,0
2715,К-185,ул. Маршала Тухачевского-Рыбацкий пр.,3,Автобус,0,1,0
2716,К-19,"Канонерский о-в, д.11 - наб. кан. Грибоедова, 54-56",3,Автобус,0,0,0
2718,К-76,"пр. Королева - БКЗ ""Октябрьский""",3,Автобус,0,1,0
2720,16А,Карбюраторный завод-Московский вокзал,3,Автобус,0,1,0
2722,К-21,"ТК ""Заневский каскад 1""-Белорусская ул., д. 16",3,Автобус,0,0,0
2725,К-283,"ст. метро ""Проспект Просвещения"" - Богословское кладбище",3,Автобус,0,1,0
2727,К-77,"ТК ""Заневский каскад 1"" - улица Коммуны",3,Автобус,0,1,0
2728,К-24,"станция метро ""Московские ворота"" - станция метро ""Купчино""",3,Автобус,0,0,0
2729,К-284,"пр. Просвещения, д. 87 - ст. метро ""Проспект Большевиков""",3,Автобус,0,1,0
2732,К-188,"ст. метро ""Озерки""-Токсовская ул., д. 129/1 по Гражданскому пр.",3,Автобус,0,1,0
2735,К-286,"ст.метро ""Купчино"" - г. Павловск, ул. Обороны",3,Автобус,0,1,0
2737,46А,"БЕЛООСТРОВСКАЯ УЛ.  -  СТ. МЕТРО ""ГОРЬКОВСКАЯ""",3,Автобус,0,1,0
2740,К-27,"Ул. Пилотов, д. 61 станция метро ""Ломоносовская""",3,Автобус,0,0,0
2743,К-82,"станция метро ""Купчино"" - Софийская улица угол Димитрова",3,Автобус,0,1,0
2756,К-30,"Уральская ул., д. 29, ТЦ ""Лента"" Богословское кладбище- (Кондратьевский пр., угол пр. Мечникова)",3,Автобус,0,0,0
2763,К-197,"ст. метро ""Проспект Ветеранов""-Микрорайон ""Балтийская Жемчужина""",3,Автобус,0,1,0
2771,К-88,"станция метро ""Проспект Ветеранов"" - улица Стойкости",3,Автобус,0,1,0
2772,К-36,Сенная площадь - площадь Конституции,3,Автобус,0,0,0
2773,К-88А,"станция метро ""Проспект Ветеранов"" - улица Стойкости",3,Автобус,0,1,0
2774,К-293,"ст. метро ""Купчино"" - г. Колпино, Оборонная ул.",3,Автобус,0,1,0
2775,К-37,"Гипермаркет ""О'КЕЙ"" - Финляндский вокзал",3,Автобус,0,0,0
2841,К-48,"станция метро ""Нарвская"" - Ленинский пр.",3,Автобус,0,0,0
2777,К-201,"ст.метро ""Звездная""-совхоз им.Тельмана, разворотное кольцо на авт. дороге ""Колпино-Ям-Ижора""",3,Автобус,0,1,0
2778,К-293А,"ст. метро ""Звездная"" - г. Колпино, бульв. Трудящихся",3,Автобус,0,1,0
2779,К-89,"станция метро ""Проспект Ветеранов"" - улица Стойкости",3,Автобус,0,1,0
2780,К-39,"станция метро ""Московская"" Московский пр., д. 197 аэропорт Пулково-1",3,Автобус,0,0,0
2781,К-342,"Станция метро ""Московская"" (Демонстрационный проезд) г. Пушкин, ул. Ломоносова",3,Автобус,0,0,0
2782,К-202,"ст. мет ро ""Звездная""-г. Пушкин,вокзал,шоссе Подбельского",3,Автобус,0,1,0
2783,К-90,"Ржевская пл., д. 1 - Двинская ул., д. 17",3,Автобус,0,1,0
2784,К-206,"ст. метро ""черная речка""-ул. Савушкина, д.145",3,Автобус,0,1,0
2785,К-294,"Пос. Новая Ижора, Волховская ул., 1 - г. Пушкин, вокзал, шоссе Подбельского",3,Автобус,0,1,0
2786,К-208,"пр. Луначарского-ст.метро ""Удельная""",3,Автобус,0,1,0
2787,К-344,"Рынок ""Юнона"" - Станция метро ""Волковская""",3,Автобус,0,1,0
2788,К-40,"станция метро ""Удельная"" - Земской переулок",3,Автобус,0,0,0
2789,К-91,"станция метро ""Пионерская"" - Глухарская улица",3,Автобус,0,1,0
2861,К-212,пл. Репина-ул. Академика Лебедева,3,Автобус,0,1,0
2791,К-41,"станция метро ""ул. Васи Алексеева, напротив д. 1 пр. Героев, угол ул. Маршала Захарова",3,Автобус,0,0,0
2792,К-43,"станция метро ""Московская"" (северный проезд ул. Типанова) ул. Доблести",3,Автобус,0,0,0
2793,К-92,"ТК ""Заневский каскад 1"" - шоссе Революции",3,Автобус,0,1,0
2794,К-345,"Станция метро ""Купчино"" - Станция метро ""Московские ворота"", Московский пр., д. 103, лит. Б",3,Автобус,0,1,0
2795,К-44,"Уральская ул., д. 33 2-3-я линии В.О., угол Среднего пр. В.О.",3,Автобус,0,0,0
2866,К-300,"ст. метро "" Автово"" - Г. Ломоносов, Морская ул.",3,Автобус,0,1,0
1242,358,"Г. ПЕТРОДВОРЕЦ, УНИВЕРСИТЕТ - ЗАЯЧИЙ РЕМИЗ",3,Автобус,0,1,0
1244,374,"Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - Г. ПУШКИН, ШОССЕ ПОДБЕЛЬСКОГО",3,Автобус,0,1,0
1245,114,"СЧАСТЛИВАЯ УЛ. - СТ.М. ""ЕЛИЗАРОВСКАЯ""",3,Автобус,0,1,0
1246,187,"УЛ. КОСТЮШКО - Г. ПУШКИН, ВОКЗАЛ",3,Автобус,0,1,0
1247,90,УЛ. КОСТЮШКО - ЮЖНОЕ КЛАДБИЩЕ,3,Автобус,0,1,0
1250,95,ПР. АЛЕКСАНДРОВСКОЙ ФЕРМЫ - РОЩИНСКАЯ УЛ.,3,Автобус,0,1,0
1251,190,"ЗВЕЗДНАЯ УЛ.-ПОС.ШУШАРЫ,ВИШЕРСКАЯ УЛ.",3,Автобус,0,1,0
1253,71,ДВИНСКАЯ УЛ.- БАЛТИЙСКИЙ ВОКЗАЛ - САДОВАЯ УЛ.- ДВИНСКАЯ УЛ.(КОЛЬЦЕВОЙ) ,3,Автобус,1,1,0
1255,50,М.БАЛКАНСКАЯ УЛ. - ТЕАТРАЛЬНАЯ ПЛ.,3,Автобус,0,1,0
1256,72,"ЗВЕЗДНАЯ УЛ. - СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""",3,Автобус,0,1,0
1258,70,ДВИНСКАЯ УЛ. - САДОВАЯ УЛ. - БАЛТИЙСКИЙ ВОКЗАЛ - ДВИНСКАЯ УЛ.,3,Автобус,1,1,0
1260,145А,"А.С.""КИРОВСКИЙ ЗАВОД"" - ОКТЯБРЬСКАЯ УЛ.",3,Автобус,0,1,0
1261,66,"АС ""КИРОВСКИЙ ЗАВОД"" - КАНОНЕРСКИЙ ОСТРОВ",3,Автобус,0,1,0
1265,20,"АВТОБУСНАЯ СТАНЦИЯ ""КИРОВСКИЙ ЗАВОД"" - СТАДИОН ""ПИНГВИН""",3,Автобус,0,1,0
