Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
1751,347,"Г. ЛОМОНОСОВ, ВОКЗАЛ - КЛАДБИЩЕ ""ИЛИКИ""",3,Автобус,0,1,0
1752,540,"Г.КОЛПИНО, ЗАВОДСКОЙ ПР. - ПОС. НИКОЛЬСКОЕ, ЗАВОД ""СОКОЛ""",3,Автобус,0,0,0
1755,544,"Г.КОЛПИНО, ВОКЗАЛ-СОВХОЗ ""ИМ.ТЕЛЬМАНА"" - ПОС.ВОЙСКОРОВО",3,Автобус,0,0,0
1767,144,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ОКТЯБРЬСКАЯ УЛ.,3,Автобус,0,1,0
1768,477,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. ВИЛЛОЗИ,3,Автобус,0,1,0
1769,547,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. ТЕРВОЛОВО,3,Автобус,0,0,0
1770,146,СТ. КРАСНОЕ СЕЛО - ОКТЯБРЬСКИЙ ГОРОДОК,3,Автобус,0,1,0
1771,147,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ЮЖНОЕ КЛАДБИЩЕ,3,Автобус,0,1,0
1772,454,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. ДЯТЛИЦЫ,3,Автобус,0,1,0
1773,454А,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. ГЛЯДИНО,3,Автобус,0,1,0
1774,149,"Ж.-Д.СТАНЦИЯ КРАСНОЕ СЕЛО-ГЕОЛОГИЧЕСКАЯ УЛ., 75",3,Автобус,0,1,0
1775,149А,Ж.-Д. СТ. КРАСНОЕ СЕЛО - УЛ. СПИРИНА,3,Автобус,0,1,0
1776,442,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. АННИНО,3,Автобус,0,1,0
1777,458,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. РАЗБЕГАЕВО,3,Автобус,0,1,0
1778,442А,"САНКТ-ПЕТЕРБУРГ, Ж.-Д. СТ. ГОРЕЛОВО - ДЕР. АННИНО",3,Автобус,0,1,0
1460,104,"АВТОБУСНАЯ СТАНЦИЯ  ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - СТ. МЕТРО ""ПАРНАС""",3,Автобус,0,1,0
1482,98,"АВТОБУСНАЯ СТАНЦИЯ "" ПР. КУЛЬТУРЫ""- СТ. МЕТРО ""ЧЕРНАЯ РЕЧКА"" ",3,Автобус,0,1,0
1541,335,"Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ. - ДОРОГА НА ПОС. МЕТАЛЛОСТРОЙ, Д.3а",3,Автобус,0,1,0
1501,176," АВТОСТАНЦИЯ ""РУЧЬИ"" - СУЗДАЛЬСКИЙ ПР.",3,Автобус,0,1,0
1502,567,"А/С ""ЖЕНИ ЕГОРОВОЙ"" - ПОС. АГАЛАТОВО - ПОС. ЕЛИЗАВЕТИНКА",3,Автобус,0,0,0
1548,60,"ПРИДОРОЖНАЯ АЛЛЕЯ - СТ. МЕТРО ""ЛЕСНАЯ""",3,Автобус,0,1,0
1562,108,"АВТОБУСНАЯ СТАНЦИЯ ""КИРОВСКИЙ ЗАВОД"" - ВОЛХОНСКОЕ ШОССЕ",3,Автобус,0,1,0
1564,41,"УЛ.КОРАБЛЕСТРОИТЕЛЕЙ-СТ.МЕТРО""ВАСИЛЕОСТРОВСКАЯ""- УЛ.КОРАБЛЕСТРОИТЕЛЕЙ ",3,Автобус,1,1,0
1565,42,"УЛ.КОРАБЛЕСТРОИТЕЛЕЙ - СТ.МЕТРО ""ВАСИЛЕОСТРОВСКАЯ"" - УЛ.КОРАБЛЕСТРОИТЕЛЕЙ",3,Автобус,1,1,0
1566,47,УЛ. КОРАБЛЕСТРОИТЕЛЕЙ - УНИВЕРСИТЕТСКАЯ НАБ.,3,Автобус,0,1,0
1603,161,УЛ. ПОДВОЙСКОГО - УЛ. ДЖОНА РИДА,3,Автобус,0,1,0
1681,44,"РЕПИЩЕВА УЛ. - СТ. МЕТРО ""УДЕЛЬНАЯ""",3,Автобус,0,1,0
1685,151,НАЛИЧНАЯ УЛ. - БОЛЬШОЙ ПР. В.О.- ПР. КИМа - НАЛИЧНАЯ УЛ.(КОЛЬЦЕВОЙ),3,Автобус,1,1,0
1686,152,"НАЛИЧНАЯ УЛ. - ПР. КИМа - БОЛЬШОЙ ПР. В.О. - НАЛИЧНАЯ УЛ.,(КОЛЬЦЕВОЙ)",3,Автобус,1,1,0
1688,179,"Г. ПАВЛОВСК, ВОКЗАЛ - ЗВЕЗДНАЯ УЛ.",3,Автобус,0,1,0
1689,181,УЛ.МАРШАЛА ТУХАЧЕВСКОГО - ПЛ. РЕПИНА,3,Автобус,0,1,0
1698,97,ТРОИЦКОЕ ПОЛЕ - УЛ. КОЛЛОНТАЙ,3,Автобус,0,1,0
1703,336,"Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - ПОС. ПОНТОННЫЙ, ШЛИССЕЛЬБУРГСКОЕ ШОССЕ",3,Автобус,0,1,0
1704,337,"Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - ДОРОГА НА ПОС. МЕТАЛЛОСТРОЙ, Д.3а",3,Автобус,0,1,0
1705,338,"Г. ПАВЛОВСК, ВОКЗАЛ - ПОС. ДИНАМО ",3,Автобус,0,1,0
1708,364,"Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ",3,Автобус,0,1,0
1779,458А,Ж.-Д. СТ. ГОРЕЛОВО - ДЕР. ИННОЛОВО,3,Автобус,0,1,0
1780,458Б,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. ИННОЛОВО,3,Автобус,0,1,0
1781,443,Ж.-Д. СТ. КРАСНОЕ СЕЛО - ДЕР. РОПША,3,Автобус,0,1,0
1782,129А,"Ж.-Д. СТ. СЕРГИЕВО - УЛ. КАЛИНИНА, 51",3,Автобус,0,1,0
1783,461,Ж.-Д. СТ. СЕРГИЕВО - ДЕР. АННИНО,3,Автобус,0,1,0
1784,462,Ж.-Д. СТ. СЕРГИЕВО - СТРЕЛЬНИНСКИЙ ЛЕСОПИТОМНИК,3,Автобус,0,1,0
1785,357,"Г. ПЕТРОДВОРЕЦ, УНИВЕРСИТЕТ - Ж.-Д. СТАНЦИЯ СТАРЫЙ ПЕТЕРГОФ",3,Автобус,0,1,0
1786,357А,"Г. ПЕТРОДВОРЕЦ. ВОКЗАЛ - ПТИЦЕФАБРИКА ""КРАСНЫЕ ЗОРИ""",3,Автобус,0,1,0
1787,344,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - ОАО ""ПЕТЕРГОФАВТОТРАНС"" (СЕЗОННЫЙ)",3,Автобус,0,1,0
1788,350,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ",3,Автобус,1,1,0
1789,353,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ",3,Автобус,0,1,0
1790,354,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - УНИВЕРСИТЕТ, УЛЬЯНОВСКАЯ УЛ.",3,Автобус,0,1,0
1791,463,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - 5-Й КМ БЕТОННОЙ ДОРОГИ",3,Автобус,0,0,0
1792,463А,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - ДЕР. ЛОПУХИНКА",3,Автобус,0,0,0
1801,121,"АС ""ЖЕНИ ЕГОРОВОЙ"" - УЛ. РУСТАВЕЛИ",3,Автобус,0,1,0
1802,122,"РЕПИЩЕВА УЛ. - СТ. МЕТРО ""ЧЕРНАЯ РЕЧКА""",3,Автобус,0,1,0
1805,489,"Г.ПЕТРОДВОРЕЦ, ВОКЗАЛ - ГОСТИЛИЦЫ - ВИЛЬПОВИЦЫ - Г. ПЕТРОДВОРЕЦ",3,Автобус,1,0,0
1806,360,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - УНИВЕРСИТЕТСКИЙ ПР.",3,Автобус,0,1,0
1809,38,РЕПИЩЕВА УЛ. - ФИЗИКО-ТЕХНИЧЕСКИЙ ИНСТИТУТ ИМ. А.Ф.ИОФФЕ,3,Автобус,0,1,0
1811,215,"Г. КРОНШТАДТ, ПР. ЛЕНИНА - Г. СЕСТРОРЕЦК, УЛ. ВОЛОДАРСКОГО",3,Автобус,0,1,0
1820,150,"УЛ.КОСТЮШКО - ГОСПЛЕМЗАВОД ""ЛЕСНОЕ""",3,Автобус,0,1,0
1821,306,"Г. СЕСТРОРЕЦК , КУРОРТНАЯ УЛ. - ПАНСИОНАТ ""ДЮНЫ""",3,Автобус,0,1,0
1823,310,"Г.СЕСТРОРЕЦК - САНАТОРИЙ ""БЕЛЫЕ НОЧИ""",3,Автобус,0,1,0
1824,311,"Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - Г. СЕСТРОРЕЦК,УЛ. ВОЛОДАРСКОГО (ТОЛЬКО В ОДНУ СТОРОНУ)",3,Автобус,0,1,0
1832,315,"Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - Ж.-Д. СТАНЦИЯ ПЕСОЧНАЯ",3,Автобус,0,1,0
1828,307,"Г.СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - Ж.-Д.СТ. ГОРСКАЯ",3,Автобус,0,1,0
1831,314,"Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - ПОС. БЕЛООСТРОВ, СЕСТРОРЕЦКОЕ ШОССЕ",3,Автобус,0,1,0
1839,552,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС.ИЛЬИЧЕВО, ДОМ-МУЗЕЙ В.И.ЛЕНИНА",3,Автобус,0,0,0
1840,552А,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС.ИЛЬИЧЕВО, ДОМ-МУЗЕЙ В.И.ЛЕНИНА",3,Автобус,0,0,0
1843,322,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛЬНАЯ ПЛ. - ПОС. РЕШЕТНИКОВО",3,Автобус,0,1,0
1846,420А,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС.ОЗЕРКИ",3,Автобус,0,0,0
1855,67Б,ДВИНСКАЯ УЛ. - БАЛТИЙСКИЙ ВОКЗАЛ,3,Автобус,0,1,0
1859,380Э,"Г.ПУШКИН, ВОКЗАЛ - СТАРОГАТЧИНСКОЕ ШОССЕ, Д. 2",3,Автобус,0,1,0
1880,376,"Г.ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - КРАСНОСЕЛЬСКОЕ ШОССЕ",3,Автобус,0,1,0
1881,356А-Шк,неверный вариант,3,Автобус,0,1,0
1932,415Ш2,"Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ЖИЛГОРОДОК - ШКОЛА № 455 - Д\С ""ПИОНЕР"" - Г.ЗЕЛЕНОГОРСК",3,Автобус,1,0,0
1973,72Ф,"Звездная ул. - ст.метро ""Кировский завод""",3,Автобус,0,1,0
2094,160,"А.С. ""КИРОВСКИЙ ЗАВОД"" - БАЛТИЙСКАЯ ЖЕМЧУЖИНА",3,Автобус,0,1,0
2132,170,ЛАХТИНСКИЙ РАЗЛИВ - РЕПИЩЕВА УЛ.,3,Автобус,0,1,0
2798,К-93,Школьная улица - Суздальский пр.,3,Автобус,0,1,0
2856,К-49,"станция метро ""Проспект Ветеранов"" (бульв. Новаторов, д. 73)-Народная ул. у пр. Большевиков",3,Автобус,0,0,0
2895,К-217,"ст. метро ""Купчино""-бульв. Новаторов, д.13",3,Автобус,0,1,0
2900,К-352,"г. Петродворец, вокзал - г. Ломоносов, вокзал",3,Автобус,0,0,0
2904,К-102,"Станция метро ""Пр. Большевиков"" - Светлановский пр.",3,Автобус,0,1,0
2925,К-322,"станция метро ""Ладожская"" (Уткин пр., угол пр. Энергетиков) - станция метро ""Удельная""",3,Автобус,0,1,0
2929,К-220Б,"ст. метро ""Ломоносовская""-г. Колпино, Оборонная ул.",3,Автобус,0,1,0
2936,К-115,"Московский пр., д. 1 - Канонерский остров, д. 11",3,Автобус,0,1,0
2955,К-329,"станция метро ""Проспект Ветеранов"", бульв. Новаторов, д. 75 - дер. Ольгино",3,Автобус,0,1,0
2973,К-227,ж.-д.станция Сортировочная-ул.Пионерстроя,3,Автобус,0,1,0
2981,К-121,"авт. ст. ""Ул. Жени Егоровой"" - нечетная сторона пр. Луначарского, напротив д. 108",3,Автобус,0,1,0
2984,К-400,"Финляндский вокзал - г. Зеленогорск, вокзал",3,Автобус,0,0,0
2986,К-232,"ст. метро ""Старая Деренвя""-Приморский пр., д.169",3,Автобус,0,1,0
2991,К-124,"Новосмоленская наб., напротив д. 1 - Подъездной пер., д. 18",3,Автобус,0,1,0
3012,К-517,"г. Пушкин, вокзал - г. Пушкин, вокзал",3,Автобус,1,0,0
3016,К-131,наб. Мартынова - ж.-д. станция Ручьи,3,Автобус,0,1,0
3037,К-484,"Станция метро ""Кировский завод"" - Дер. Андреевка",3,Автобус,0,0,0
3044,К-247,"ст. метро ""Приморская""-Наличная ул.",3,Автобус,0,1,0
3075,К-149,"ст. метро ""Спортивная"", Дворец спорта ""Юбилейный"" - Крематорий",3,Автобус,0,1,0
3076,К-158,"станция метро ""Комендантская площадь"" - Глухарская ул.",3,Автобус,0,0,0
3085,К-163,"Кирочная ул., д. 23 - станция метро ""Проспект Большевиков""",3,Автобус,0,0,0
3095,К-153,"ТЦ ""МЕГА Дыбенко"" - пр. Косыгина",3,Автобус,0,1,0
3096,К-519,"г. Пушкин, вокзал - Казанское кладбище",3,Автобус,0,0,0
3099,К-154,Прибалтийская пл. - Автовская ул.,3,Автобус,0,1,0
3100,К-166,"станция метро ""Старая Деревня"" - станция метро ""Старая Деревня""",3,Автобус,0,0,0
3104,К-169,"Старо-Петергофский пр., д. 50 - Садовая ул., д. 37",3,Автобус,0,0,0
