Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
3112,К-271,"ст. метро ""Ладожская"" - Выборгский рынок",3,Автобус,0,1,0
3119,К-260,"Ж.-д. станция Предпортовая - Станция метро ""Ломоносовская""",3,Автобус,0,0,0
3121,К-273,"ул.Одоевского - ст. метро ""Горьковская""",3,Автобус,0,1,0
3137,К-172,"Станция метро ""Пионерская"" - Туристская ул. (четная сторона) у Мебельной ул.",3,Автобус,0,1,0
3279,1946,река Оккервиь - пл. Александра Невского,3,Автобус,0,1,0
3301,1М,"А.С. ""ПР. КУЛЬТУРЫ"" - А.С.""ПР. МАРШАЛА ЖУКОВА""",3,Автобус,0,1,1
2836,К-346,"Морская наб., д. 9, у пл. Европы - Светлановский пр. у Суздальского пр.",3,Автобус,0,1,0
2840,К-94,Мебельная ул. - ул. Карпинского,3,Автобус,0,1,0
2860,К-50,"станция метро ""Черная речка"" - ул. Руставели",3,Автобус,0,0,0
2862,К-51,боковой проезд Пискаревского пр. -боковой проезд Пискаревского пр.,3,Автобус,1,0,0
2872,К-99,"ул. Жени Егоровой - пос. Бугры, Шоссейная ул., 28",3,Автобус,0,1,0
2905,К-367,на пересечении Парашютной ул. и Долгоозерной ул. боковой проезд Пискаревского пр. у д. 40,3,Автобус,0,0,0
2920,К-366,"г. Колпино, вокзал - совхоз им. Тельмана",3,Автобус,0,0,0
2930,К-372,"станция метро ""Старая Деревня"" - Коломяжский пр.",3,Автобус,0,0,0
2935,К-375,"г. Пушкин, вокзал - ж.-д. станция Александровская",3,Автобус,0,0,0
2959,К-417,"Станция метро ""Черная речка"" - г. Сестрорецк, Курортная ул.",3,Автобус,0,0,0
2962,К-383,"М. Карпатская ул., угол ул. Олеко Дундича - станция метро ""Купчино"", Балканская пл.",3,Автобус,0,0,0
2970,К-224,"ст. метро ""Ленинский проспект""-ж.д. станция Старый Петергоф",3,Автобус,0,1,0
2990,К-235,"ст.метро ""Проспект Ветеранов""-пр.Героев",3,Автобус,0,1,0
3006,К-403,"г. Красное Село, Красногородская ул., угол Нагорной ул. Станция метро ""Московская"" ",3,Автобус,0,0,0
3013,К-404,"Балтийский вокзал - г. Ломоносов, ул. Победы",3,Автобус,0,0,0
3038,К-133,"станция метро ""Черная речка"" - Школьная ул., д. 128 ",3,Автобус,0,1,0
3045,К-156,ж.-д. станция Ржевка - Синопская наб.,3,Автобус,0,0,0
3055,К-143,"Боткинская ул. - пос. Бугры, разворотное кольцо на Шоссейной ул.",3,Автобус,0,1,0
3077,К-485,"Ул. Подвойского - Садоводство ""Северная Самарка""",3,Автобус,0,0,0
3079,К-162,"Капитанская ул., угол Морской наб. - Морская наб., д. 9, у пл. Европы",3,Автобус,0,0,0
3098,К-521,"г. Пушкин, вокзал - Совхоз Фёдоровское",3,Автобус,0,0,0
3105,К-253,"Станция метро ""Елизаровская"" - Станция метро ""Купчино""",3,Автобус,0,1,0
3117,К-259,"Станция метро ""Озерки"" - Ж.-д. станция Дибуны",3,Автобус,0,0,0
3120,К-275,"ст. метро ""Рыбацкое"" - пос. Металлострой, Центральная ул.",3,Автобус,0,0,0
3136,К-173,больница Святого Георгия - ул. Руднева,3,Автобус,0,1,0
2857,К-95,"На пересечении Гражданского пр. и Суздальского пр. - Станция метро ""Ладожская""",3,Автобус,0,1,0
2898,К-55,"станция метро ""Пионерская"" - Земский пер.",3,Автобус,0,0,0
2910,К-306,Казанский собор - ж.-д. станция Сосновая поляна,3,Автобус,0,1,0
2918,К-369,"станция метро ""Ладожская"" - станция метро ""Петроградская""",3,Автобус,0,0,0
2922,К-408,"Станция метро ""Проспект Просвещения"" - Сестрорецк, парк ""Дубки""",3,Автобус,0,0,0
2928,К-114,Б. Смоленский пр. у ул. Пинегина - Счастливая ул.,3,Автобус,0,1,0
2964,К-118,"станция метро ""Ладожская"" - станция метро ""Удельная""",3,Автобус,0,1,0
2966,К-385,"Уткина Заводь - Станция метро ""Дыбенко""",3,Автобус,0,0,0
2968,К-387,"станция метро ""Старая деревня"" - ул. Савушкина, д. 145",3,Автобус,0,0,0
2979,К-120,"Уральская ул., д. 33 - станция метро ""Петроградская"", пл. Шевченко",3,Автобус,0,1,0
2982,К-123,"ул. Прокофьева - станция метро ""Ладожская""",3,Автобус,0,1,0
2987,К-233,"ст. метро ""Старая Деревня""-Школьная ул., д 128",3,Автобус,0,1,0
2998,К-240А,Манчестерская ул.-Манчестерская ул.,3,Автобус,1,1,0
3003,К-424А,"Станция метро ""Автово"" - г. Ломоносов, вокзал",3,Автобус,0,0,0
3036,К-405,"станция метро ""Черная речка"" - г. Кронштадт, Гражданская ул.",3,Автобус,0,0,0
3040,К-155А,"станция метро ""Проспект Большевиков"" - станция метро ""Проспект Большевиков"" (кольцевой маршрут)",3,Автобус,1,0,0
3042,К-155Б,"станция метро ""Проспект Большевиков"" - станция метро ""Проспект Большевиков"" (кольцевой маршрут)",3,Автобус,1,0,0
3043,К-134,боковой проезд Мебельной ул. у Яхтенной ул. - ул. Илюшина,3,Автобус,0,1,0
3051,К-157,"пр. Культуры - Выборгское шоссе, д. 11",3,Автобус,0,0,0
3052,К-252,Балтийский вокзал-Светлановский пр. уг. Суздальского пр.,3,Автобус,0,1,0
3054,К-142,"ст. метро ""Ленинский проспект"" - ул. Доблести ",3,Автобус,0,1,0
3078,К-161,ул. Лопатина - ул. Бадаева,3,Автобус,0,0,0
3080,К-511,"г. Пушкин, вокзал - Пос. Лесное",3,Автобус,0,0,0
3084,К-515,"Станция метро ""Ломоносовская"" - Садоводство ""Сады""",3,Автобус,0,0,0
3088,К-139,"Станция метро ""Купчино"" - Инженернная ул., д. 7",3,Автобус,0,1,0
3111,К-595,"станция метро ""Улица Дыбенко"" - садоводство ""Пупышево""",3,Автобус,0,0,0
3118,К-170,"Транспортный пер. - Тепловозная ул., д. 32, лит. М (разворотная площадка у завода ЖБИ)",3,Автобус,0,0,0
3200,test,test - for Alla,3,Автобус,0,0,0
2796,К-296,"ул. Ленсовета, д. 88 -  г. Колпино, Оборонная ул.,  д. 10",3,Автобус,0,1,0
2837,К-45,"станция метро ""Купчино"" - пересечение ул. Маршала Казакова и ул. Десантников",3,Автобус,0,0,0
2839,К-349,ДК им. Кирова - 8-9 линия В.О.,3,Автобус,0,1,0
2858,К-210,"ст.метро ""Черная речка""-Ольгино, сады",3,Автобус,0,1,0
2859,К-347,"Станция метро ""Московская"" - Красносельское шоссе, д.67",3,Автобус,0,1,0
2864,К-213,Сенная пл.-Авиагородок,3,Автобус,0,1,0
2868,К-52,"ул. Бурцева - станция метро ""Проспект Ветеранов""",3,Автобус,0,0,0
2875,К-54,"станция метро ""Старая деревня"" - Глухарская ул.",3,Автобус,0,0,0
2897,К-218,"ж.-д.станция Ржевка-Дальневосточный пр., д. 65",3,Автобус,0,1,0
2899,К-56,"Станция метро ""Купчино"" - ТЦ ""МЕГА ДЫБЕНКО""",3,Автобус,0,0,0
2933,К-409,"Станция метро ""Ломоносовская"" - Ржевская пл.",3,Автобус,0,1,0
2934,К-223,"Выборгское шоссе, д.31-ст. метро ""Горьковская""",3,Автобус,0,1,0
2958,К-377,"г.Пушкин, Средняя ул. - г. Пушкин, Санкт-Петербургское шоссе",3,Автобус,0,0,0
2963,К-117,"станция метро ""Елизаровская"" - ул. Бехтерева",3,Автобус,0,1,0
2974,К-433,"ст. метро ""Проспект Просвещения"" - пос. Агалатово",3,Автобус,0,1,0
2985,К-229,"ст. метро ""Пионерская""-ст. метро ""Старая Деревня""",3,Автобус,0,1,0
3035,К-469,"ст. метро ""Улица Дыбенко"" - садоводство ""Восход-1""",3,Автобус,0,0,0
3048,К-251,"ст. метро ""Проспект Большевиков""-ул Лопатина",3,Автобус,0,1,0
3081,К-151,"ст. метро ""Купчино"" - ул. Васи Алексеева",3,Автобус,0,1,0
3082,К-137,"Финляндский вокзал - Станция метро ""Дыбенко""",3,Автобус,0,1,0
3175,55555,ИСААКИЕВСКИЙ ПР.- ШПАЛЕРНАЯ УЛ.,3,Автобус,1,0,0
3219,180,"КАМЫШОВАЯ УЛ. - ОАО ""КЛИМОВ""",3,Автобус,0,1,0
3199,1000,пробный,3,Автобус,0,1,0
2817,К-91А,"станция метро ""Удельная"" - Глухарская ул.",3,Автобус,0,1,0
2863,К-96,"станция метро ""Купчино"" - станция метро ""Обухово""",3,Автобус,0,1,0
2865,К-97,Караваевская ул. - ул. Коллонтай,3,Автобус,0,1,0
2869,К-216,"ст. метро ""Купчино""-ст. м. ""Проспект Ветеранов""",3,Автобус,0,1,0
2903,К-354,"г. Пушкин, Новодеревенская ул. - Станция метро ""Купчино""",3,Автобус,0,0,0
2916,К-365,"Станция метро ""Елизаровская"" - Ул. Коллонтай",3,Автобус,0,1,0
2921,К-108,"ул. Николая Рубцова, д. 12, к. 1 - на пересечении Гражданского пр. и Суздальского пр.",3,Автобус,0,1,0
2924,К-112,"станция метро ""Проспект Просвещения"" - на пересечении Гражданского пр. и Суздальского пр.",3,Автобус,0,1,0
2957,К-338,"Звенигородская ул. бульв. Новаторов, д. 6",3,Автобус,0,1,0
2960,К-379,"Камышовая ул.  - станция метро ""Старая Деревня"" (Мебельная ул., д. 1)",3,Автобус,0,0,0
2977,К-119,"станция метро ""Ломоносовская"" - Уткина Заводь",3,Автобус,0,1,0
3000,К-240Б,Манчестерская ул.-Манчестерская ул.,3,Автобус,1,1,0
3009,К-243,"ст. метро ""Удельная""-Вербная ул.",3,Автобус,0,1,0
3014,К-244,"ст. метро ""Удельная""-Афанасьевская ул.",3,Автобус,0,1,0
3050,К-135,"Станция метр ""Московские ворота"" - ул. Коллонтай уг. ул. Лопатина",3,Автобус,0,1,0
3086,К-152,"Боткинская ул., д. 1 - Выборгское шоссе, д. 31",3,Автобус,0,1,0
3097,К-165,"станция метро ""Проспект Ветеранов"" - ж.-д. станция Сосновая Поляна",3,Автобус,0,0,0
3103,К-168,"станция метро ""Пионерская"" - Глухарская ул., д. 4",3,Автобус,0,0,0
3109,К-269,"ст. метро ""Чернышевская"" - ТЦ ""МЕГА Дыбенко""",3,Автобус,0,1,0
3115,К-272,"ст. метро ""Рыбацкое"" - пос. Металлострой",3,Автобус,0,0,0
3116,К-258,Витебский вокзал - Пр. Мечникова,3,Автобус,0,1,0
3122,К-690,"Уральская ул., д. 29, ТЦ ""Лента"" -  Школьная ул. (разворотная площадка напротив д. 124",3,Автобус,0,1,0
3127,К-171Б,"пл. Конституции у дома 48, лит. А - пл. Конституции у дома 48, лит. А (кольцевой)",3,Автобус,1,0,0
3155,300,"АС ""КИРОВСКИЙ ЗАВОД"" - ПР. ГЕРОЕВ",3,Автобус,0,1,0
3300,3М,"А.С. ""НАЛИЧНАЯ УЛ."" - СТ. МЕТРО ""РЫБАЦКОЕ""",3,Автобус,0,1,1
2815,К-296А,"ул. Ленсовета, д. 88 - г. Колпино, ул. Веры Слуцкой",3,Автобус,0,1,0
2902,К-101,ж.-д. станция Ручьи - ул. Шаврова,3,Автобус,0,1,0
2909,К-106,Финляндский вокзал - пр. Энергетиков,3,Автобус,0,1,0
2915,К-309,на пересечении Уральской ул. и пр. КИМа - на пересечении Уральской ул. и пр. КИМа,3,Автобус,0,1,0
2923,К-111,"станция метро ""Кировский завод"" - ул. Доблести",3,Автобус,0,1,0
2927,К-371,"станция метро ""Старая деревня"" - станция метро ""Удельная""",3,Автобус,0,0,0
2932,К-373,"станция метро ""Лесная"" (Лесной пр., 63) - Новоколомяжский пр., д. 16",3,Автобус,0,0,0
2937,К-376,"г. Пушкин, автобусная станция ""Железнодорожная ул."" - г. Пушкин, Красносельское шоссе, д.65",3,Автобус,0,0,0
2969,К-388,"станция метро ""Купчино"" - Ириновский пр.",3,Автобус,0,0,0
2975,К-420,"Станция метро ""Ленинский проспект"" - г. Петродворец, Чебышевская ул.",3,Автобус,0,0,0
2976,К-391А,"г. Колпино, вокзал . Колпино, вокзал (кольцевой маршрут)",3,Автобус,1,0,0
2978,К-391Б,"г. Колпино, вокзал - г. Колпино, вокзал (кольцевой маршрут)",3,Автобус,1,0,0
2980,К-436,"ст. метро ""Проспект Просвещения"" - ж. -д. станция Грузино",3,Автобус,0,0,0
2989,К-445А,"ст. метро ""Автово"" - г. Красное Село, ул. Лермонтова",3,Автобус,0,0,0
2995,К-445Б,"Колобановская ул. - ст. метро ""Ленинский пр.""",3,Автобус,0,1,0
2996,К-401,"Станция метро ""Волковская"" - Станция метро ""Новочеркасская""",3,Автобус,0,0,0
3004,К-242,"ст.метро ""Ленинский проспект""-ул. Доблести",3,Автобус,0,1,0
3005,К-127,"станция метро ""Спортивная"" - пр. Королева",3,Автобус,0,1,0
3007,К-425,"Станция метро ""Чёрная речка"" - г. Сестрорецк, ул. Володарского, д.40",3,Автобус,0,0,0
3008,К-449,"ст. метро ""Московская"" - г. Красное Село, Геологическая ул., д. 75",3,Автобус,0,0,0
3010,К-130,"станция метро ""Московская"" - ж.-д. станция Сосновая Поляна",3,Автобус,0,1,0
3015,К-476,"Станция метро ""Ломоносовская"" - Пос. им. Свердлова",3,Автобус,0,0,0
3018,К-468,"ст. метро ""Улица Дыбенко"" - садоводство ""Восход-1""",3,Автобус,0,0,0
3019,К-132,"станция метро ""Черная речка"" - Приморский пр., д. 169",3,Автобус,0,1,0
3039,К-246,"ж.-д.-станция Сосновая Поляна-ст. метро ""Купчино""",3,Автобус,0,1,0
3046,К-249А,наб. р. Смоленки (Смоленское кладбище)-4-5-я линии В.О.,3,Автобус,0,1,0
3053,К-136,"а/с Звездная ул. - разворотная площадка у станции метро ""Волковская""",3,Автобус,0,1,0
3101,К-167,"Кирочная ул., д. 23 - ул. Осипенко",3,Автобус,0,0,0
3108,К-254,"ТЦ ""МЕГА Дыбенко"" - Станция метро ""Площадь Ленина""",3,Автобус,0,1,0
3110,К-539,"Станция метро ""Проспект Просвещения"" - Станция метро ""Проспект Просвещения""",3,Автобус,1,1,0
3124,К-262,Финляндский вокзал - Пр. Просвещения,3,Автобус,0,1,0
3126,К-171А,"пл. Конституции, д. 7 - пл. Конституции, д. 7 (кольцевой)",3,Автобус,1,0,0
3135,К-407,"ст. метро ""Проспект Просвещения"" - г. Кронштадт, Гражданская ул.",3,Автобус,0,1,0
3178,ночь,Ночь музеев 1,3,Автобус,0,0,0
2816,К-209,"ул. Коллонтай-ст. метро Петроградская""""",3,Автобус,0,1,0
2835,К-343,"Станция метро ""Проспект Ветеранов"" - г. Ломоносов, вокзал",3,Автобус,0,0,0
2842,К-297,"ст. метро "" Проспект Ветеранов"" - ж. -д. станция Сосновая Поляна ",3,Автобус,0,1,0
2843,К-298,"Суздальский пр., уг. Гражданского пр. на -  пересечении Среднего пр. В.О. и 24-й линии В.О.",3,Автобус,0,1,0
2867,К-214,"Выборгское шоссе, д.31-ТК""Лента""",3,Автобус,0,1,0
2870,К-53,"станция метро ""Купчино"", Балканская пл. - Тепловозная ул., д. 32",3,Автобус,0,0,0
2871,К-350,"Станция метро ""Купчино"" - Автобусная станция ""Наличная""",3,Автобус,0,1,0
2873,К-53а,"станция метро ""Площадь Александра Невского-2"" - станция метро ""Купчино""",3,Автобус,0,0,0
2874,К-302,"г. Сестрорецк, ул. Володарского - Новый район, больница ",3,Автобус,0,1,0
2876,К-305,"Ст. метро ""Старая Деревня"" - пос. Приветнинское",3,Автобус,0,0,0
2896,К-100,"ул. Пестеля - Екатерининский пр., д. 3",3,Автобус,0,1,0
2901,К-220,"ст.метро ""Рыбацкое""-г. Колпино, Заводсокй пр.",3,Автобус,0,1,0
2906,К-359А,"Уральская ул., д. 33 Уральская ул., д. 33",3,Автобус,1,1,0
2907,К-359Б,"Уральская ул., у сада Декабристов Уральская ул., у сада Декабристов",3,Автобус,1,1,0
2908,К-308,"станция метро ""Удельная"" (разворотная площадка) - ул. Савушкина, д. 134",3,Автобус,0,1,0
2917,К-107," ж.-д. станция Пискаревка - Инженерная ул., д. 4",3,Автобус,0,1,0
2919,К-321,ул. Гидротехников - Петровская пл.,3,Автобус,0,1,0
2926,К-220А,"г.Колпино, Заводской пр.-пос.Металлострой, Центральная ул.",3,Автобус,0,1,0
2931,К-325,"ст. метро ""Удельная"" - ж.-д. станция Ручьи",3,Автобус,0,1,0
2938,К-330,"пр. Науки, д. 21 - ж. -д. станция Пискаревка",3,Автобус,0,1,0
2956,К-333,"пр. Героев - бульв. Новаторов до кинотеатра ""Нарвский""",3,Автобус,0,1,0
2961,К-116,"Б. Смоленский пр. у пр. Обуховской Обороны - Звездная ул., д. 8",3,Автобус,0,1,0
2965,К-339,"Ленинский пр., угол пр. Героев - ТЦ ""МЕГА Дыбенко"" ",3,Автобус,0,1,0
2967,К-418,"Софийская ул., д.95 - Станция метро ""Купчино""",3,Автобус,0,1,0
2971,К-224к,"автобусная станция ""Кировский завод""-г.Петродворец, университет",3,Автобус,0,1,0
2972,К-226,"ул. Рихарда Зорге-ст. метро ""Московская""",3,Автобус,0,1,0
2983,К-424,"Станция метро ""Автово"" - г. Петродворец, университет",3,Автобус,0,0,0
2988,К-234,"ул. Доблести-ст. метро ""Проспект Ветеранов""",3,Автобус,0,1,0
2997,К-239,"ст. метро ""Проспект Большевиков""-ст. метро ""Рыбацкое""",3,Автобус,0,1,0
2999,К-402,"г. Красное Село, Октябрьская ул. - г. Пушкин, автобусная станция ""Железнодорожная ул.""",3,Автобус,0,0,0
3001,К-445В,"Ст. метро ""Проспект Ветеранов"" - г. Красное Село, Кингисеппское шоссе, д. 55",3,Автобус,0,1,0
3002,К-241,"Выборгское шоссе, д.33-ст. метро ""Проспект Просвещения""",3,Автобус,0,1,0
3011,К-479,"Станция метро ""Звёздная"" - Ж.-д. станция Шушары",3,Автобус,0,0,0
3017,К-245,"ст. метро ""Кировский завод""-Красное Село, Нарвская ул.",3,Автобус,0,1,0
3041,К-248,"ст.метро ""Приморская""-ул. Нахимова",3,Автобус,0,1,0
3047,К-250,"ст. метро ""Московские ворота""-ст. метро ""Купчино""",3,Автобус,0,1,0
3083,К-150,"Пискаревский пр. - ст. метро ""Удельная""",3,Автобус,0,1,0
3087,К-138,"станция метро ""Звездная"" (Звездная ул., д. 3Б) - ул. Салова, напротив д. 61",3,Автобус,0,1,0
3102,К-252А,"Станция метро Станция метро ""Политехническая"" - ТРК Северный Молл, пр. Культуры, д. 41",3,Автобус,0,1,0
3106,К-530,Финляндский вокзал - Котово поле,3,Автобус,0,1,0
3107,К-268,"ст. метро ""Рыбацкое"" - пос. Саперный, Невская ул.",3,Автобус,0,1,0
3123,К-261,"Станция метро ""Проспект Просвещения"" - Пос. Юкки",3,Автобус,0,0,0
3125,К-264,"Ж.-д. станция ""Пискарёвка"" - Станция метро ""Ломоносовская""",3,Автобус,0,1,0
3176,1 ночь , «Исаакиевская пл. – Шпалерная ул.»    ,3,Автобус,0,1,0
3239,301,"  АС ""УЛ. КОСТЮШКО""-ГЕОЛОГИЧЕСКАЯ УЛ., 75""",3,Автобус,0,1,0
3299,2М,"А.С. ""БАЛКАНСКАЯ УЛ."" - СТ. МЕТРО ""ПАРНАС""",3,Автобус,0,1,1
3302,5М,Репищева ул. - ст.Сортировочная,3,Автобус,0,1,1
3319,1МА,"А.С. ""УЛ. УШИНСКОГО"" - СТ. МЕТРО ""ПЛ. ЛЕНИНА""",3,Автобус,1,1,1
